app_id,day,model,feature,contribution
com.labpixies.flood,53,M1,stickiness,-0.1325
com.labpixies.flood,53,M1,dau,0.582
com.labpixies.flood,53,M1,crash_rate,-0.1354
com.labpixies.flood,53,M1,mau,0.3829
com.labpixies.flood,54,M1,stickiness,-0.1375
com.labpixies.flood,54,M1,dau,0.6075
com.labpixies.flood,54,M1,crash_rate,0.2864
com.labpixies.flood,54,M1,mau,0.4349
com.labpixies.flood,55,M1,stickiness,-0.1928
com.labpixies.flood,55,M1,dau,0.0702
com.labpixies.flood,55,M1,crash_rate,-0.4901
com.labpixies.flood,55,M1,mau,0.4407
com.labpixies.flood,56,M1,stickiness,-0.1721
com.labpixies.flood,56,M1,dau,0.2311
com.labpixies.flood,56,M1,crash_rate,-0.269
com.labpixies.flood,56,M1,mau,0.4674
com.labpixies.flood,57,M1,stickiness,-0.1747
com.labpixies.flood,57,M1,dau,0.2641
com.labpixies.flood,57,M1,crash_rate,-0.0855
com.labpixies.flood,57,M1,mau,0.5183
com.labpixies.flood,58,M1,stickiness,-0.2069
com.labpixies.flood,58,M1,dau,0.0537
com.labpixies.flood,58,M1,crash_rate,0.8206
com.labpixies.flood,58,M1,mau,0.5231
com.labpixies.flood,59,M1,stickiness,-0.3594
com.labpixies.flood,59,M1,dau,-0.8342
com.labpixies.flood,59,M1,crash_rate,-0.0299
com.labpixies.flood,59,M1,mau,0.498
com.labpixies.flood,60,M1,stickiness,-0.2273
com.labpixies.flood,60,M1,dau,0.0003
com.labpixies.flood,60,M1,crash_rate,-0.0887
com.labpixies.flood,60,M1,mau,0.478
com.labpixies.flood,61,M1,stickiness,-0.2134
com.labpixies.flood,61,M1,dau,0.0175
com.labpixies.flood,61,M1,crash_rate,0.0194
com.labpixies.flood,61,M1,mau,0.4795
com.labpixies.flood,62,M1,stickiness,-0.1641
com.labpixies.flood,62,M1,dau,0.2993
com.labpixies.flood,62,M1,crash_rate,-0.1662
com.labpixies.flood,62,M1,mau,0.4599
com.labpixies.flood,63,M1,stickiness,-0.224
com.labpixies.flood,63,M1,dau,0.0024
com.labpixies.flood,63,M1,crash_rate,-0.7555
com.labpixies.flood,63,M1,mau,0.4841
com.labpixies.flood,64,M1,stickiness,-0.2509
com.labpixies.flood,64,M1,dau,-0.0335
com.labpixies.flood,64,M1,crash_rate,0.2421
com.labpixies.flood,64,M1,mau,0.4644
com.labpixies.flood,65,M1,stickiness,-0.2217
com.labpixies.flood,65,M1,dau,0.0024
com.labpixies.flood,65,M1,crash_rate,0.1678
com.labpixies.flood,65,M1,mau,0.4659
com.labpixies.flood,66,M1,stickiness,-0.1952
com.labpixies.flood,66,M1,dau,0.0889
com.labpixies.flood,66,M1,crash_rate,-0.3146
com.labpixies.flood,66,M1,mau,0.4902
com.labpixies.flood,67,M1,stickiness,-0.2382
com.labpixies.flood,67,M1,dau,-0.0003
com.labpixies.flood,67,M1,crash_rate,-0.0409
com.labpixies.flood,67,M1,mau,0.5327
com.labpixies.flood,68,M1,stickiness,-0.2801
com.labpixies.flood,68,M1,dau,-0.1105
com.labpixies.flood,68,M1,crash_rate,-0.1998
com.labpixies.flood,68,M1,mau,0.5391
com.labpixies.flood,69,M1,stickiness,-0.1865
com.labpixies.flood,69,M1,dau,0.1857
com.labpixies.flood,69,M1,crash_rate,-0.0154
com.labpixies.flood,69,M1,mau,0.5424
com.labpixies.flood,70,M1,stickiness,-0.1859
com.labpixies.flood,70,M1,dau,0.2003
com.labpixies.flood,70,M1,crash_rate,-0.2843
com.labpixies.flood,70,M1,mau,0.5538
com.labpixies.flood,71,M1,stickiness,-0.2492
com.labpixies.flood,71,M1,dau,-0.007
com.labpixies.flood,71,M1,crash_rate,0.1113
com.labpixies.flood,71,M1,mau,0.5554
